Category were the 30 under 30 person was selected,Forbes Name,Forbes Age,Forbes Country,Role in the Company,Company,Description,LinkedIn Profile,linkedin_name,Exact match between the name ?,Did I had o perform a manual searh to find the linkedin profile ?
30 Under 30 - Europe - Social Entrepreneurs,Margherita Pagani,29,Argentina,Founder, Impacton.org,"Pagani aims to create an encyclopedia of blueprints for of purpose-driven projects for impact investing. The Italian-born and Argentina-based entrepreneur believes works with universities, governments and private companies to co-design programs based on proven models.",https://www.linkedin.com/in/magheritapagani,Margherita Pagani - CEO and Founder - Impacton.org ,FALSE,NO
30 Under 30 - Europe - Media & Marketing,Mohamed Khairat,25,Australia,Cofounders, Egyptian Streets,"Amin and Khairat founded Egyptian Streets back in 2012, less than two years after the Arab Spring. The digital publication that strives to address challenging issues--such as sexual harassment and the Muslim Brotherhood--from local perspectives by engaging the community. The publication sky-rocketed to success; it is one of Egypt's most widely read English news platforms with a lifetime readership of about six million people.",,,FALSE,
30 Under 30 - Europe - Law & Policy,Lisa-Maria Sommer,26,Austria,Cofounders, More Than One Perspective,Sommer and Poxleitner are challenging anti-refugee sentiment in Austria by showing the positive impact that refugees have on business. MTOP (More than One Perspective) targets and trains educated refugees through a rigorous program to prepare them to excel in the marketplace. MTOP has an 80% placement success rate.,,,FALSE,
30 Under 30 - Europe - Art & Culture,Anna-Sophie Berger,28,Austria,Chef, Ristorante Materia,"A 2013 graduate of the  University of Applied Arts, Vienna, Austria, with an MFA from the Fashion Department, Berger today combines fashion with photography, simplifying clothes to a very basic shape in accordance with the constructivist theories and early naif paintings of Kazimir Malevich, whom she says influenced her greatly. ""My fashion really needs photography to uncover the world it creates. Likewise my photography is influenced by clothing and how people wear things,"" she has said.  Berger is the first winner (2016) of the Kapsch Contemporary Art Prize, established to promote young artists who live and work mainly in Austria, and has already had a dozen solo exhibitions throughout Europe as well as in New York.",NO PROFILE,LinkedIn - Official Site,FALSE,YES
30 Under 30 - Europe - Art & Culture,Marina Sula,26,Austria,Founder, MTArt,"Born in Lezhe, Albania, Marina Sula graduated from the University of Vienna with a degree in history of art and then attended the city's Academy of Fine Arts. She currently lives and works in Vienna and has participated in a total of  eight exhibitions since 2014 (4 of them solo) in Albania, Austria, and Italy. Her work focuses on installations and includes spatial installations, photographs, sculptures and  abstract digital drawings, made with the fingertips of the artist's hand onto her mobile device and translated into abstract drawings. Her exhibition ""Soft Power,"" at the Gabriele Senn Galerie in Vienna at the end of 2016, was acclaimed for her use of  strategies of advertising, social media performance and affectionate proximity on such wellness rituals as body cleansing to dissolve differences between an inside and outside, privacy and exposure.",NO PROFILE,Top 25 Marina profiles at Smart ,FALSE,YES
30 Under 30 - Europe - Law & Policy,Nina Poxleitner,29,Austria,Cofounders, More Than One Perspective,Sommer and Poxleitner are challenging anti-refugee sentiment in Austria by showing the positive impact that refugees have on business. MTOP (More than One Perspective) targets and trains educated refugees through a rigorous program to prepare them to excel in the marketplace. MTOP has an 80% placement success rate.,https://www.linkedin.com/in/ninapoxleitner,Nina Poxleitner ,TRUE,NO
30 Under 30 - Europe - Science & Healthcare,Johanna Pirker,29,Austria,Cofounders, Redbrick Molecular,Johanna Pirker developed a VR physics lab to change the way high school students learn physics. The program aims to increase the number of STEM students and engage more women to consider a STEM career.,https://www.linkedin.com/in/johannapirker/,Hajnalka Collado ,FALSE,YES
30 Under 30 - Europe - Social Entrepreneurs,Alexander Hartveld,26,Austria,Cofounders, refugees{code},"Refugees{code} is helping refugees seeking employment connect with companies seeking programmers through 9-month coding classes. The program develops soft skills, offers online courses and a 3 month internship to fully prepare refugees for the job market. Most recently, the company won Austria's Social Impact Award.",https://www.linkedin.com/in/hartveld/,refugees{code} ,FALSE,YES
30 Under 30 - Europe - Social Entrepreneurs,Stefan Steinberger,29,Austria,Cofounders, refugees{code},"Refugees{code} is helping refugees seeking employment connect with companies seeking programmers through 9-month coding classes. The program develops soft skills, offers online courses and a 3 month internship to fully prepare refugees for the job market. Most recently, the company won Austria's Social Impact Award.",,,FALSE,
30 Under 30 - Europe - Social Entrepreneurs,Daniela Wolf,29,Austria,Cofounders, refugees{code},"Refugees{code} is helping refugees seeking employment connect with companies seeking programmers through 9-month coding classes. The program develops soft skills, offers online courses and a 3 month internship to fully prepare refugees for the job market. Most recently, the company won Austria's Social Impact Award.",,,FALSE,
30 Under 30 - Europe - Media & Marketing,Fritz Jergitsch,26,Austria,Founder, Die Tagespresse,"Friedrich ""Fritz"" Jergitsch founded Die Tagespresse in 2013 and turned it into Austria's largest satirical news site in only four years; half a million people visit his page every month in a country with not even nine million people. Jergitsch has translated that success into a television show on ORF 1, allowing him to become the John Oliver and Stephen Colbert of Austria.",NO PROFILE,"Tagespresse-Founder: ""Womöglich vernichtet uns die Digitalisierung""",FALSE,YES
30 Under 30 - Europe - Law & Policy,Anisia Kozliuk,21,Belarus,Human Rights Activist, Human rights center Viasna,"Having faced searches, seizures of personal property, and brief detentions and police holdings, Kozliuk is no stranger to the authorities. Fighting for a better Belarus, she combats unlawful police practices and provides aid to victims of human rights violations, all while working to popularize the ideas of human rights in the region.",NO PROFILE,Anisia Kozliuk - forbes.com,FALSE,YES
30 Under 30 - Europe - Law & Policy,Aline Muylaert,24,Belgium,Cofounders, CitizenLab,"In 2015, Van Ransbeeck and Muylaert cofounded CitizenLab, a digital infrastructure that empowers local democracy to address the widening gap between citizens and municipal governments. It was named the ""Coolest Government Software Vendor"" by Gartner and is now in over 50 cities throughout Europe.",https://be.linkedin.com/in/alinemuylaert,Aline Muylaert ,TRUE,NO
30 Under 30 - Europe - Law & Policy,Wietse Van Ransbeeck,24,Belgium,Cofounders, CitizenLab,"In 2015, Van Ransbeeck and Muylaert cofounded CitizenLab, a digital infrastructure that empowers local democracy to address the widening gap between citizens and municipal governments. It was named the ""Coolest Government Software Vendor"" by Gartner and is now in over 50 cities throughout Europe.",,,FALSE,
30 Under 30 - Europe - Law & Policy,Eduardo Gómez Casado,29,Belgium,Case Handler, European Commission,"As a European Commission antitrust case handler, Gómez Casado ensures an even playing field in the market. This work includes protecting consumers from oligopoly pricing by preventing collusion to distort market competition and making sure that community treaties are applied throughout the European Union.",https://www.linkedin.com/in/eduardo-g%C3%B3mez-casado-2447522b,Eduardo Gómez Casado ,TRUE,NO
30 Under 30 - Europe - Social Entrepreneurs,Rositsa Zaimova,29,Belgium,Founding Partner, Dalberg Data Insights,"Bulgaria-born Zaimova helped found Dalberg Data Insights, an offshoot of Dalberg, which creates tools to interpret data and design solutions for international development, humanitarian aid and social impact. Their advantage lies in their access to private data, which has proven key in supplying NGOs with comprehensive data and analytics capable informing responses to challenges such as earthquakes or infectious outbreaks.",https://www.linkedin.com/in/rositsazaimova/,Nicolas Quarré ,FALSE,YES
30 Under 30 - Europe - Industry,Simas Gerdvila,28,Belgium,Policy Officer, Euroheat &amp; Power,"At Euroheat &amp; Power in 2016, Gerdvila works in a number of environmental policy areas such as the EU Emission Scheme Directive, carbon markets, and industrial emissions. In addition, he has worked on energy policy for the European Commission's Legal Service. Prior to joining Euroheat &amp; Power, Gerdvila spent three years working with companies to develop their own government affairs abilities in environmental and energy policy.",https://www.linkedin.com/in/simasgerdvila,Simas Gerdvila ,TRUE,NO
30 Under 30 - Europe - Media & Marketing,Hanan Challouki,25,Belgium,Cofounders, Allyens,"Challouki and Riani Achhab founded communications agency Allyens to focus on inclusivity and diversity in digital communications. From their office in Antwerp, they work with corporate brands, including Thomson Reuters, VDAB and Ketnet, as well as the public sector.The pair also founded Mvslim.com an online platform that strives to create an online community for Muslims and to make the world of Muslims more accessible to others.",https://www.linkedin.com/in/hanan-challouki-178b3bb9,Hanan Challouki ,TRUE,NO
30 Under 30 - Europe - Media & Marketing,Taha Riani Achhab,22,Belgium,Cofounders, Allyens,"Challouki and Riani Achhab founded communications agency Allyens to focus on inclusivity and diversity in digital communications. From their office in Antwerp, they work with corporate brands, including Thomson Reuters, VDAB and Ketnet, as well as the public sector.The pair also founded Mvslim.com an online platform that strives to create an online community for Muslims and to make the world of Muslims more accessible to others.",,,FALSE,
30 Under 30 - Europe - Law & Policy,Jasminko Halilovic,29,Bosnia and Herzegovina,Founder, War Childhood Museum,"Halilovic, a leading conflict researcher, founded the War Childhood Museum in Sarajevo which has documented over 4000 articles, interviews and artifacts exploring the experience of growing up in wartime Bosnia &amp; Herzegovina. He has authored several books, including ""War Childhood: Sarajevo 1992-1995.""",https://www.linkedin.com/in/jasminko-halilovic-9a2b7585,Jasminko Halilovic ,TRUE,NO
30 Under 30 - Europe - Law & Policy,Lena Borislavova,28,Bulgaria,Attorney," Georgiev,Todorov & Co.","At Georgiev, Todorov &amp; Company, Borislavova specializes in mergers and acquisitions, commercial transactions and negotiations, and international financial law. She also supports foreign investment into Bulgaria.",http://duckduckgo.com/y.js?u3=https%3A%2F%2Fr.search.yahoo.com%2Fcbclk%2FdWU9RDg3NkQxMEE1RTE3NDU4RCZ1dD0xNTE3NTk5NTU5MTgzJnVvPTIwMTkzMzA0MzAmbHQ9MiZlcz1MRnh2ZFBvR1BTX1MyYVBf%2FRV%3D2%2FRE%3D1517628359%2FRO%3D10%2FRU%3Dhttps%253a%252f%252fwww.bing.com%252faclick%253fld%253dd33SHdBYeMGnKd7FhqQt5%2DXzVUCUx6owGIfKH52BxEM15mzZCoxcepww5UVogST2BgVU4_tp8teRWYv9MJLly_tKpZgpsaVc581yNHRYWeKfRqaUDnUkAvhEjzdLUgHuVU6oYCHevIZED95IPOEWVnxJLS0x0CZ4e5tm21mPaHl_QukFuM%2526u%253dhttp%25253a%25252f%25252flawyers.findlaw.com%25252f%25253fDCMP%25253dADC%2DDIR_AttorneyGenExp%2DPhrase%252526HBX_PK%25253dattorneys%2FRK%3D2%2FRS%3DMHTKvBbg6jEZ5NkFkRaqj_c998s%2D,Lena Borislavova ,TRUE,NO
30 Under 30 - Europe - Social Entrepreneurs,Iva Tsolova,26,Bulgaria,Cofounder, JAMBA - Career For All,Bulgarian Tsolova has designed an online platform that educates individuals with disabilities and develops key competencies for future employment. The company also partners with businesses to make them more conducive for individuals with disabilities.,https://www.linkedin.com/in/ivatsolova,Iva Tsolova ,TRUE,NO
30 Under 30 - Europe - Industry,Aleksander Ciszek,29,Canada,CEO, 3YOURMIND,"Ciszek is cofounder and CEO of 3YOURMIND, a German-based company that develops 3D printing software solutions for manufacturers as well as 3D printing services. The company's software is geared towards analysis of printability, pricing and time to provide more efficient workflows for additive manufacturing. Since its founding in 2013, the company has expanded to three locations - Berlin, San Francisco, and Wroclaw and currently has 35 employees. The company has raised $13 million in funding so far and is working with big name customers like Volkswagen and Siemens.",https://www.linkedin.com/in/aleksander-ciszek,Aleksander Ciszek ,TRUE,NO
30 Under 30 - Europe - Industry,Larissa Parker,23,Canada,Director of Partnerships, Youth Climate Lab,"Parker is the Director of Partnerships at the Youth Climate Lab, which works with stakeholders on climate policy and helps to develop entrepreneurship in fields that can help to fight climate change. Parker is also an analyst for the Overseas Development Institute.",https://ca.linkedin.com/in/larissaparker,Larissa Parker ,TRUE,NO
30 Under 30 - Europe - Law & Policy,Katerina Gavrielidou,29,Cyprus,Founder, The European Cyprus Society,"As the founder and president of the European Cyprus Society, Gavrielidou works to integrate Cyprus into European affairs and promotes education and youth empowerment. She was awarded Queen Elizabeth's Young Leader Award in 2016.",https://www.linkedin.com/in/katerina-gavrielidou-b467ba20,Katerina Gavrielidou ,TRUE,NO
30 Under 30 - Europe - Entertainment,Karolína Plisková,25,Czech Republic,Athlete, Tennis,"In 2017, Pliskova became the first female tennis player representing the Czech Republic to rank No. 1 in the world. With nine WTA titles under her belt, Pliskova has scored nearly $11 million in Prize money and has served more aces on tour than any other player since 2015.",NO PROFILE,90+ Plisková profiles ,FALSE,YES
30 Under 30 - Europe - Technology,Oliver Dlouhý,29,Czech Republic,Founder, Kiwi.com,"Oliver Dlouhý is the founder and 24.5% owner of travel-booking site Kiwi.com, headquartered in the Czech Republic, with a number of global offices. The company has more than 1,700 employees and expects to earn $9 million on sales of $805 million in 2017. Kiwi.com's revenue has tripled on an annual basis and it has raised $1.5M from investors. Dlouhý set up Kiwi.com in 2012 to provide users with the cheapest flight itineraries and combinations through a unique ""virtual interlining"" algorithmic technology.",https://cz.linkedin.com/in/oliverdlouhy,Oliver Dlouhy ,FALSE,NO
30 Under 30 - Europe - Technology,Josef Prusa,27,Czech Republic,Founder, Prusa Research,"In the last five years, Josef Prusa has grown his eponymous company from a bootstrapped enterprise to one of the largest 3D printer companies in the world. With Conan O'Brien and Wil Wheaton as fans, Prusa has shipped tens of thousands of printers to over 130 countries. In 2017, the company expects to do over ?33M in revenue and Forbes Czech Republic estimated its valuation to be ?236 million in 2016. Not only are his 3D printers one of the best-sellers around the world, they're also ""self-replicating"". Inside what Prusa calls ""The Farm"", more than 300 printers are busy printing parts to construct new printers.",https://www.linkedin.com/in/josefprusa/,"Interview with Josef Prusa, CEO and Founder of Prusa Research ...",FALSE,YES
30 Under 30 - Europe - Industry,Hjalte Wieth,22,Denmark,Cofounders, Soundboks,"Nyvold, Thomsen, and Wieth are the cofounders of Soundboks, which manufactures what they refer to as a ""party-resistant"" speaker. It's a large, portable Bluetooth speaker that can be used to provide big sound at parties and other outdoor events. They built their first speakers in their parents' basement, but just a few years later, the company is selling thousands of speakers worldwide with the United States and Germany as its main markets. The company's cofounders are among the youngest Europeans to have made it through the Y Combinator startup accelerator.",,,FALSE,
30 Under 30 - Europe - Art & Culture,Mattis Curth,28,Denmark,Creative Director, Hardeman,"""Art is for sharing. it is a beautiful way to connect with people and initiate dialogue about how we navigate in this world,"" says Mattis Curth, who is the CEO and, with his brother Jeppe, co-founder of Artland, a digital social community for art collectors and art lovers that helps you to discover, buy and manage your art collection at a reasonable cost. Curth created the Artland app after buying his first work of art in 2016 and sought to create a community of like-minded novice collectors who could share questions, thoughts and answers in an online forum. Artland lowers the barriers for newcomers to enter the art world and create a community for established players to share their passion.",https://www.linkedin.com/in/mattis-curth/,Top 25 Curth profiles ,FALSE,YES
